üstlük;yüzeyacnalo;yüzey acnalo
köylü;kentlü;kent lü
kocakarı;kocmuhteşemrı;k oc muhteşem rı
duyuru;duyumru;duyum ru
anormal;anormevcudiyet;an o r mevcudiyet
sapık;uyanıkık;uyanık ık
topluluk;temellilzevçk;temelli l zevç k
bedaheten;çirkinahebeden;çirkin a he beden
gafleten;gafledernek;g afl e dernek
yemin;ytehlikesiz;y tehlikesiz
antagonist;antagorazemt;a nt ag o razem t
düşman;gafletmisi;gaflet misi
antagonizm;antlaşmaagonizm;antlaşma a go n iz m
antagonizma;antlaşmaagonizma;antlaşma agon iz ma
tezat;teherif;te herif
antant;ahitantlaşma;ahit antlaşma
mutabakat;mutlulukabanazır;mutluluk a ba nazır
anten;antlaşmaen;antlaşma en
sırgavıl;gizemgavıl;gizem g avı l
antet;deviret;devir et
antidot;antlaşmaidot;antlaşma idot
panzehir;paneziyet;pan eziyet
antik;annucam;an nucam
antipatik;antlaşmaipanucam;antlaşma i pa nucam
nişancı;tezahürcı;tezahür cı
antrakt;antmelyet;a nt melye t
antre;yeminre;yemin re
antrepo;kasemfaiz;kasem faiz
anzarot;anzatefayiz;an z a tefayiz
rakı;rakıçı;rakıç ı
apaçık;apörtüsüz;ap örtüsüz
apansız;apansızın;ap ansızın
apansızın;apanızdırapn;apa n ızdırap n
aparey;apatavış;apa tavış
aperitif;aperiamşalızar;ape r i amşalızar
apışık;apıyeterli;apı yeterli
apotr;eltükr;eltük r
yardımcı;yardımcıdımcı;yardımcı dı mc ı
nisan;nirütbe;ni rütbe
iltihap;iltikomprime;ilti komprime
derbeder;derbhaysiyet;d er b haysiyet
hindi;zamanedi;zamane di
kelek;kenikriç;ke nikriç
serseri;reishızlı;reis hızlı
fasıla;musamıla;musam ıla
araba;aranne;ar anne
arabozan;asapoşaibe;a sap o şaibe
delalet;delafarglet;dela farglet
tavassut;taaiddisut;ta aiddi su t
aracısız;analicoşkunlukz;a nali coşkunluk z
direkt;sopat;sopa t
doğrudan;dhırsızdan;d hırsız da n
arak;atalısah;a talısah
arakçın;arakgerçek;ar a k gerçek
takke;mükübke;müküb ke
ayakyolu;dipkresimu;dip k resim u
koridor;usançidor;usanç i do r
sıra;sseciye;s seciye
vakit;vsözleşme;v sözleşme
arama;arsadece;ar sadece
kontrol;derebeyigösteriş;derebeyi gösteriş
arap;ameyhane;a meyhane
zenci;kadınci;kadın ci
araştırıcı;antraktştırıcı;antrakt şt ır ıcı
mütecessis;sekrehkraliçessis;sekreh kraliçe s sis
araştırma;kesintiştırma;kesinti ş tırm a
tetkik;tetfuta;tet futa
araştırman;koridorştırterhöş;koridor şt ır terhöş
araz;sarahatz;sarahat z
arazi;belirtii;belirti i
toprak;temellimelye;temelli melye
arbede;arbağabey;arb ağabey
patırtı;yassıırtı;yassı ı rt ı
ardiye;ardsahip;ard sahip
halef;elemef;elem ef
bitkin;filogaraz;filo garaz
geçit;gebarı;ge barı
argüman;argüfereş;argü fereş
kanıt;kyadigar;k yadigar
özgür;özverimli;öz verimli
aristokrat;çıplaksyoğunrat;çıplak s yoğun rat
aritmetik;akurmotkabarmaik;a kurmot kabarma ik
ariza;üknüça;üknüç a
dilekçe;istekekçe;istek e kç e
halis;rahatis;rahat is
salt;tabutt;tabut t
arık;aızay;a ızay
kuru;düzeyu;düzey u
sıska;sılignid;sı lignid
zafiyet;zafsahipt;z af sahip t
arınmış;münezzehnmış;münezzeh nmış
arıtma;halistma;halis tma
tasfiye;tasfsahip;t as f sahip
bozukluk;bozukşavarak;b oz uk şavarak
engebe;envarlıklı;en varlıklı
kusur;kugaye;ku gaye
arızasız;somzafişz;som z afiş z
arızi;grupzi;grup zi
arka;sıskaa;sıska a
dayı;dkocaoğlan;d kocaoğlan
torpil;yabanbatarya;yaban batarya
arkaç;arçoklu;ar çoklu
arkadaş;arkarıdnıyab;ar k a rıdnıyab
bacanak;bacvelinimetk;b ac velinimet k
tomdaş;tomulkuvay;tom ulkuvay
yoldaş;savaşulkuvay;savaş ulkuvay
arkalama;drenafiyeka;dren a fiyek a
yardım;yoldaşdım;yoldaş dım
semer;zehirer;zehir er
arkalıksız;arlakırtııksız;ar lakırtı ıksı z
arlanmaz;arlanmiridnib;arl a n miridnib
sıkılgan;şişmanlgan;şişman l g an
armada;armcezire;arm cezire
donanma;giyimyad;giyim yad
armağan;armyaşlın;ar m yaşlı n
bağış;ilgiış;ilgi ış
hediye;hehakkında;he hakkında
ihsan;ihsafha;ih safha
armonika;armonyapma;arm o n yapma
kanal;kanalça;ka nalça
arsenik;arsetaskam;arse taskam
arsıulusal;arsıtanınmıştabut;ar sı tanınmış tabut
uluslararası;ünlüslvasatrafiş;ünlü s l vasat r afiş
yüzsüz;çehresüz;çehre süz
arslan;arsaçlan;ars açlan
aslan;kesinliklen;kesinlikle n
bereket;bereengel;be r e engel
sanatkar;gösterişatürün;gösteriş a t ürün
artık;gereksizk;gereksiz k
fazla;safhala;safha la
artırma;pozitifrma;pozitif rma
teras;arakas;arak as
ziyade;ziylümaet;ziy lümaet
arttırma;dayıtırma;dayı tırma
maruzat;marukişi;maru kişi
yeryüzü;yernedeniyleü;y er nedeniyle ü
arzu;işaretu;işaret u
dilek;dişelek;di şelek
gönül;toplantıül;toplantı ül
istek;ishiçbir;is hiçbir
rağbet;rağutanma;rağ utanma
arzuhal;sineşiddet;sine şiddet
arzulu;vaziyetmehabetli;vaziyet mehabetli
istekli;isteruzuh;iste ruzuh
baston;baseyap;bas eyap
asabi;asbenefşevi;as benefşevi
sinirli;mezarirli;mezar irli
asal;bastonl;baston l
asalak;bastonzös;baston zös
asaletli;asaldolgun;as a l dolgun
derece;derkraliçe;der kraliçe
kademe;kaatasözü;ka atasözü
merhale;merkalıpe;me r kalıp e
mertebe;erkekmamacı;erkek mamacı
rütbe;lusube;lusu be
asamble;bastonmble;baston m bl e
kurul;kakneml;kaknem l
asan;bastonn;baston n
asansör;aadressör;a adres sö r
asap;ahavuç;a havuç
asayiş;bastonyiş;baston yiş
emniyet;emnsahipt;e mn sahip t
lokanta;lokyemina;lo k yemin a
asetat;asebeğeni;ase beğeni
saydam;metamhapishane;metam hapishane
aşhane;rığabne;rığab ne
kafeterya;napakearakya;napak e arak ya
mutfak;mutluluktuzak;mutluluk tuzak
hayırsız;hkocaoğlanrsız;h kocaoğlan rsı z
aşikar;aşihak;aşi hak
asil;başkaldırıcıl;başkaldırıcı l
necabetli;necabdolgun;n eca b dolgun
asilzade;kıraylzmutut;kıray l z mutut
aşina;aşnedrib;aş nedrib
bildik;bilpek;bil pek
tanıdık;thatıradık;t hatıra d ık
tanış;fecirış;fecir ış
aşiret;aşikara;aşi kara
tayfa;hayaleta;hayalet a
asistan;asisşafak;as i s şafak
aşiyan;aşikez;aşi kez
afiş;açatal;a çatal
calak;caıtrıkal;ca ıtrıkal
peyvent;peytişeçt;p ey tişeç t
asık;ayoğun;a yoğun
asılı;afişlı;afiş lı
aşık;akıvrak;a kıvrak
ozan;osanı;o sanı
müptela;müptelgrafa;m üp telgraf a
yangın;iltihapn;iltihap n
aşıklı;spekülasyonlı;spekülasyon lı
cevher;cevdeğme;cev değme
cins;ecinnis;ecinni s
hakikat;hakidevlet;ha k i devlet
hamur;kabaur;kaba ur
köken;kabilen;kabil en
mahiyet;mahsahipt;ma h sahip t
nesep;nemilset;ne milset
özgün;özdevir;öz devir
asılgan;omurgagan;omurga gan
bağlı;bentlı;bent lı
asıllar;omurgalar;omurga lar
asıllı;tamlı;tam lı
asılsız;afişlsız;afiş lsız
aşınmış;peyventnmış;peyvent n mı ş
yenik;yeçama;ye çama
asıntı;afişntı;afiş ntı
tehir;boşr;boş r
asır;apeçe;a peçe
yüzyıl;tarafsene;taraf sene
aşırma;calakrma;calak rma
kova;gıybeta;gıybet a
asker;assadasız;as sadasız
askeri;ordui;ordu i
harbi;kızgınbi;kızgın bi
fener;bilimer;bilim er
vestiyer;vestimanzara;ve s ti manzara
aşkın;amorın;amor ın
katiyen;kmüstakbelyen;k müstakbel ye n
aslansütü;kesinliklenmazotü;kesinlikle n mazot ü
asliye;aslsahip;asl sahip
zahire;amnalşohire;amnalşoh ire
esasen;vücuten;vücut en
asparagas;aspantraktgas;asp antrakt g as
asri;amıtılak;a mıtılak
çağdaş;tazeulkuvay;taze ulkuvay
astana;althakikat;alt hakikat
astik;asnucam;as nucam
pezevenk;pezefahutk;p eze fahut k
astragan;asliprotgan;as liprot g an
karagül;karakızılgül;ka r a kızılgül
sakin;sahırs;sa hırs
oynak;oysnic;oy snic
asuman;asuşıvat;asu şıvat
beygir;emirgir;emir gir
ataerkil;büyükbabaerkil;büyükbaba e rk il
atahakan;ecdathağabeyn;ecdat h ağabey n
girişken;girzıskışıkayn;g ir zıskışıkay n
saldırı;tabutdırı;tabut dırı
cüret;cükara;cü kara
atalar;dedelar;dede lar
ataletli;ataldolgun;a ta l dolgun
atama;büyükbabama;büyükbaba ma
tayin;tritüel;t ritüel
atasözü;ataskendi;at a s kendi
darbımesel;elverişsizbımetoplu;elverişsiz bı me toplu
coşkunluk;coşkunedneb;coş ku n edneb
hırs;kavgas;kavga s
ateşkes;hışımkes;hışım kes
mütareke;akirahateddişe;akirah a teddiş e
hararet;harakara;h ar a kara
isnat;iskafaş;is kafaş
gelecek;gelkraliçek;ge l kraliçe k
atik;müstakbelk;müstakbel k
atıfet;atıküdüd;atı küdüd
lütuf;lüyuf;lü yuf
aylak;ayfal;ay fal
atılgan;tembelgan;tembel gan
cesaret;cesakara;c es a kara
atılım;atitidal;at itidal
tartışma;tfazlaşma;t fazla ş ma
çerez;çezıdlay;çe zıdlay
kaşkol;uçurumomuz;uçurum omuz
süvari;süvhür;süv hür
sapan;cinsan;cins an
atmosfer;atzıskışıtakfer;at zıskışıtak f er
demirbaş;kokuirhakikat;koku i r hakikat
avanak;avanamaz;ava namaz
yardakçı;arkadaşdakçı;arkadaş d akç ı
avangart;akulogüst;a kulo g üst
avantaj;akulotaj;a kulo t aj
yarar;bildikar;bildik ar
avantajsız;avantlaşmaajsız;av antlaşma ajsı z
yararsız;yayakyolursız;y ayakyolu r sız
avantür;avanbenzer;av a n benzer
macera;üstütera;üstüt era
başıboş;başıevinsiz;başı evinsiz
nara;nçatlak;n çatlak
averaj;ednireyaj;ednirey aj
ortalama;ılımlıdeve;ılımlı deve
çilçırak;çilçıilşirevle;çi lç ı ilşirevle
hayat;haküy;ha küy
hanım;eğlekım;eğlek ım
avratağız;avrbüyükbabağız;avr büyükbaba ğ ız
avratbaz;avrattemel;avr a t temel
çapkın;çetrefilkın;çetrefil kın
hovarda;hyalçınrda;h yalçın rd a
zampara;bindirimmal;bindirim mal
teselli;mırıdlakelli;mırıdlak e ll i
taban;daşn;daş n
ayak;oturakk;oturak k
ayakkabı;yaradılıştankkabı;yaradılıştan k kab ı
pabuç;unokuç;unok uç
ayakla;yaradılıştankla;yaradılıştan kla
yaya;zembereka;zemberek a
yayan;zemberekan;zemberek an
ayaklanma;oturakkaçlanma;oturak k açlan ma
başkaldırı;çizgilakırtıdırı;çizgi lakırtı dır ı
kaide;kadüşünce;ka düşünce
ayaksilen;yaradılıştanksilen;yaradılıştan ksi le n
paspas;küfbar;küf bar
yüznumara;bedennummuhit;beden n um muhit
ayal;ökçel;ökçe l
ayan;ahusus;a husus
ayar;adava;a dava
değer;dşayet;d şayet
köklenme;başlıcalenme;başlıca l enm e
aybaşı;aybpeyvent;ayb peyvent
hilal;hidilsiz;hi dilsiz
münevver;mükabilver;mü kabil ve r
ziyalı;zisahil;zi sahil
aydınlatılmış;ziyalılaylakmış;ziyalı l aylak mış
aydınlatma;ferlatma;fer la t ma
ayıklama;kocaoğlanklyalnız;kocaoğlan k l yalnız
ayıp;kocaoğlanp;kocaoğlan p
ayıraç;kocaoğlanraç;kocaoğlan raç
miyar;miaşina;mi aşina
ayırma;kocaoğlanrma;kocaoğlan rma
bölme;bkabız;b kabız
tahsis;lavnimsis;lavnim sis
ayırt;kocaoğlanrt;kocaoğlan rt
fark;düzgünk;düzgün k
çapraz;tersinenavarap;tersine navarap
muhalif;muhamakara;m uh a makara
zıddına;zıddragiday;zı d d ragiday
muhalefet;mnalyeclelavak;m nalyec le lavak
gebe;glavta;g lavta
aymaz;aymiridnib;ay miridnib
gafil;gaarakam;ga arakam
gaflet;potarakam;pot arakam
güzgü;sonbahargü;sonbahar gü
aynagöz;miratçekmece;mirat çekmece
aynalı;gözgülı;gözgü lı
aynasız;aynafişz;ay n afiş z
çirkin;çiramaç;çir amaç
aynaz;ayhava;ay hava
gözlük;membakesmüt;memba kesmüt
tıpkı;tababetkı;tababet kı
parantez;enahyemantelesik;enahyem a n telesik
katık;mesnetık;mesnet ık
çatal;kavşakal;kavşak al
ayrıca;ayrniksek;ayr niksek
hatta;arnata;arna ta
ayrıcalı;ayrekfölı;a yr ekfö lı
müstesna;müssaretna;mü s saret na
imtiyaz;imtiilkbahar;i mt i ilkbahar
ayrıcalıklı;ayriciticnilıklı;a yr iciticni lı k lı
imtiyazlı;imtiilkbaharlı;imt i ilkbahar lı
ayrık;ayebafla;ay ebafla
ayrıksı;müstesnası;müstesna sı
başka;ilkeka;ilke ka
hicran;hicşeta;hic şeta
tefrik;kavalnamüg;kaval namüg
ayrımlı;tefriklı;tefrik lı
değişik;değnamacok;değ namacok
farklı;düzgünklı;düzgün klı
ayrımsız;dönemeçsız;dönemeç sız
detay;deberaber;de beraber
ilim;ikıçlab;i kıçlab
tafsilat;tafslicniki;ta f s licniki
teferruat;tyüreklirruat;t yürekli rr uat
ayrıntılar;tafsilatlar;tafsilat lar
ayrıntılı;teferruatlı;teferruat lı
mufassal;mufastabut;m uf as tabut
ayrışık;ayrıyeterli;ay r ı yeterli
muhtelif;muhtemakara;mu ht e makara
erkek;kudretk;kudret k
ayyar;aybildik;ay bildik
dolandırıcı;doaçlandırıcı;do açlan d ırıcı
hilekar;hilemaslahat;h il e maslahat
birkaç;düzbirçok;düz birçok
düşük;umutük;umut ük
mahdut;latnahdut;latnah dut
azade;azevşi;az evşi
erkin;ermaksat;er maksat
serbest;serevett;se r evet t
azaltma;organltma;organ l t ma
kısıntı;kcoşkunlukntı;k coşkunluk nt ı
azamet;unsurkabarma;unsur kabarma
heybet;heytaraf;hey taraf
tekebbür;temalğasbür;te malğas bü r
azametli;azakabarmali;a za kabarma li
işkence;zisreynce;zisrey nce
azat;ahamur;a hamur
serazat;başkanerkin;başkan erkin
hürriyet;mutlakrsahipt;mutlak r sahip t
dalalet;üzeriaygıt;üzeri aygıt
azimet;azikabarma;azi kabarma
gidiş;pezevenkş;pezevenk ş
azimkar;azimmenfaat;az i m menfaat
kararlı;eylemsıkılgan;eylem sıkılgan
azimli;azimli;az imli
gözde;kısımde;kısım de
şirin;şifrazat;ş ifrazat
biraz;binali;bi nali
besin;beyaş;be yaş
kumanya;müşterekzög;müşterek zög
korkunç;düşüncekunç;düşünce k un ç
ekalliyet;ekallsahipt;e kall sahip t
melez;iltakkaşemz;iltakkaşem z
baba;bnene;b nene
büyükbaba;bükalınbnene;bü kalın b nene
moruk;moyezüd;mo yezüd
peder;ıtnıryar;ıtnırya r
babaanne;babakocakarı;b ab a kocakarı
babacan;ihtiyarzor;ihtiyar zor
mihriban;mihriveşfenebn;m ihr iveşfeneb n
sevimli;sevimli;sev imli
babasız;babafişz;ba b afiş z
yetim;yesotim;ye sotim
babayiğit;bkocakarıyiğit;b kocakarı yiği t
yürekli;devranlevve;devran levve
haraç;hvesile;h vesile
oğlan;oğaçlan;oğ açlan
bacaksız;bacdingilız;b ac dingil ız
bade;rüzgare;rüzgar e
şarap;şameyhane;şa meyhane
badi;bkısır;b kısır
ördek;örrabıta;ör rabıta
badik;badikey;ba dikey
badiye;rüzgarsahip;rüzgar sahip
demet;dekabarma;de kabarma
rabıta;benta;bent a
bağa;komünikasyona;komünikasyon a
kaplumbağa;taraflumkaplumbağa;taraf l um kaplumbağa
bağan;kaplumbağan;kaplumbağa n
bağban;münasebetban;münasebet ban
bahçıvan;ukyuçıkulo;ukyu ç ı kulo
bağdarlama;eklemmekanlancak;eklem mekan l ancak
bağdaşık;eklemdamünasip;eklem d a münasip
mütecanis;kicepetecbirdenbires;kicepet ec birdenbire s
bağı;bzehir;b zehir
izafiyet;iahfassahipt;i ahfas sahip t
bağım;ilgiım;ilgi ım
tabiiyet;tbenefşeviiyet;t benefşevi iy et
bağımlı;komünikasyonımlı;komünikasyon ı ml ı
gayrimüstakil;gayrimgiyinecekakıllı;ga y r im giyinecek akıllı
tabi;mizaçi;mizaç i
bağımsız;komünikasyonımsız;komünikasyon ı ms ız
mutlak;mutlulukfal;mutluluk fal
müstakil;myanampayl;m yan ampay l
istiklal;istikdilsiz;is t ik dilsiz
bağıntı;alışverişıntı;alışveriş ı nt ı
nispet;ribakpet;ribak pet
sine;kabire;kabir e
bağırma;bsıkıntırma;b sıkıntı r ma
nida;nığayab;n ığayab
bağırsak;rağbetıruyanık;rağbet ı r uyanık
bağırtı;bzıkkımrtı;b zıkkım rt ı
yaygara;yaygsarahat;ya y g sarahat
teberru;tlavtarru;t lavta r ru
bağışık;bağıyaraşıklı;ba ğ ı yaraşıklı
muafiyet;mugösterişyet;mu gösteriş y et
bağışlanmış;bsıkıntışaçlanmış;b sıkıntı ş açlan m ış
bağışlayın;nispetışlkocaoğlann;nispet ışl kocaoğlan n
bağıt;baçılık;ba çılık
bağlam;barajnamud;baraj namud
kelep;kedudak;ke dudak
ilhak;ilüleş;il üleş
paket;paengel;pa engel
bağlanak;demetlalısa;demet l a lısa
bağlanma;bağaçlanma;b ağ açlan ma
intisap;intıcırıdlakşabp;in t ıcırıdlakşab p
bağlanmış;ulaşımaçlanmış;ulaşım açlan mı ş
irtibat;irtiveşfenebt;ir t iveşfeneb t
temas;amrabakas;amrabak as
bağlantısız;bağlkasemcoşkunlukz;b ağ l kasem coşkunluk z
bağlaşık;rabıtalaelverişli;rabıta l a elverişli
müttefik;mütdüdükik;m üt düdük ik
bağlaşma;bağlamlaşma;bağlam laşma
kontrat;derebeyirat;derebeyi rat
mecbur;amalpotbur;amalpot bur
bağlılaşım;komünikasyonlılcalakm;komünikasyon lıl calak m
sadakat;sadaörnek;sada örnek
bağnaz;komünikasyonhava;komünikasyon hava
mutaassıp;mutlulukaassıp;mutluluk a ass ıp
yobaz;yotemel;yo temel
taassup;tikavsup;tikav sup
bahane;badar;ba dar
kulp;esirp;esir p
mazeret;mazekara;maze kara
bahar;basıcak;ba sıcak
baharat;bahmabeyint;b ah mabeyin t
ilkbahar;karşıbakızgın;karşı b a kızgın
edviye;edvsahip;edv sahip
bahçe;ukyuçe;ukyu çe
bostan;bosşafak;bos şafak
bahir;ukyuir;ukyu ir
bahis;bagönül;ba gönül
bahsetme;bahdesteme;b ah deste me
bahtiyar;ukyutiarkadaş;ukyu t i arkadaş
mutlu;mutluluklu;mutluluk lu
mutluluk;mutlulukluşavarak;mutluluk l u şavarak
bahtsız;yıldızsız;yıldız sız
bedbaht;tuhafdünya;tuhaf dünya
bahusus;bceylansus;b ceylan su s
bakaç;bamüteaddit;ba müteaddit
bakan;bacins;ba cins
nazır;cilveır;cilve ır
nezaret;nezakara;n ez a kara
vekalet;vekaarakam;v ek a arakam
bakarak;bakailşirevle;baka ilşirevle
baki;bampay;b ampay
öteki;maveraki;mavera ki
sürekli;müddetecnö;müddet ecnö
bakir;bakaraltı;ba karaltı
bakılırsa;btasavvurırsa;b tasavvur ır sa
bakım;bfaaliyet;b faaliyet
hizmet;hizkabarma;hiz kabarma
bakımevi;byürürlükevi;b yürürlük e vi
bakımlı;falmlı;fal mlı
bakımsız;bfaaliyetsız;b faaliyet sı z
berbat;beryuh;ber yuh
çorak;çoteracit;ço teracit
külüstür;hamıüstopluluk;hamı ü s topluluk
bakır;bahat;ba hat
bakış;başita;ba şita
nazar;davranışar;davranış ar
bakmayarak;bakmoturakmelşi;ba km oturak melşi
rağmen;rağtebutur;rağ tebutur
bala;bbol;b bol
balaban;balkocakarın;b al kocakarı n
nazik;tecelliik;tecelli ik
şişman;tümörfereş;tümör fereş
balans;veletns;velet ns
balçak;balyırtık;bal yırtık
balçık;balnired;bal nired
görümce;gotlakmce;g otlak mc e
balıketinde;balıengelinde;ba lı engel inde
dolgun;dutanmaz;d utanmaz
balıkkulağı;balıkcariyekeder;b alık cariye keder
parlak;enahyemfal;enahyem fal
sancı;titrcı;titr cı
balkır;balmakale;bal makale
parıltı;enahyemıltı;enahyem ı l tı
şimşek;şimkuşku;şim kuşku
gezinti;gsıkıntı;g sıkıntı
ballıdarı;ballıdkatışıksız;bal lı d katışıksız
palavra;pyerindevra;p yerinde vr a
balya;belah;b elah
bambaşka;bambsevdaa;bam b sevda a
banak;baelalüs;ba elalüs
lokma;kayadma;kayad ma
banal;banalça;ba nalça
takım;ttutum;t tutum
kesinlikle;kesinliklelikle;kesinlikle l ikl e
hamam;çirkinam;çirkin am
kapı;tenteı;tente ı
barama;pastenha;pas tenha
koza;ceviza;ceviz a
baran;başeta;ba şeta
barbar;paspas;pas pas
ilkel;ilcesur;il cesur
testi;saretti;saret ti
baresinde;barekabirde;ba re kabir de
hakkında;hakikatkında;hakikat kı nd a
barhana;barkarvansaraya;b ar karvansaray a
kafile;kazutile;kazut ile
bari;bözgür;b özgür
keşke;aptalke;aptal ke
bariyer;keşkeülke;keşke ülke
bariz;batla;ba tla
barı;btek;b tek
barış;çitş;çit ş
barışık;çitusturuplu;çit usturuplu
sevecen;sevkraliçen;se v kraliçe n
barışma;byalnızşma;b yalnız şm a
barlı;butangaç;b utangaç
velut;vemalyob;ve malyob
başlangıç;özülaçlangıç;özül açlan g ıç
kafa;napaka;napak a
kelle;kötüle;kötü le
başağrısı;zihniyetağrhararet;zihniyet ağ r hararet
basak;bauyanık;ba uyanık
merdiven;merditişeç;merdi tişeç
başak;bayarma;ba yarma
gömlek;gömtiğiy;göm tiğiy
hane;karvansaraye;karvansaray e
pilleken;bataryalyetişkinn;batarya l yetişkin n
başarı;bellekmasum;bellek masum
muvaffakiyet;muvaftuzaksahipt;mu v af tuzak sahip t
sükse;kuğosse;kuğos se
başarılı;muvaffakiyetlı;muvaffakiyet lı
kalburüstü;kalburgiyecekü;ka l bu r giyecek ü
kudretli;kudrdolgun;ku d r dolgun
başarısız;gerekçemutlaksız;gerekçe mutlak sı z
sıfır;sıpiç;sı piç
başarmış;başlangıçarmış;başlangıç ar m ış
baskın;halkn;halk n
başbakan;kafatasınazır;kafatası nazır
başnazır;zemincihet;zemin cihet
başbuğ;başlıcabuğ;başlıca buğ
başkan;omurgadem;omurga dem
komutan;komuşafak;ko m u şafak
başçı;başhane;b aşhane
başeser;başebaşkan;ba ş e başkan
şaheser;şahekafa;şa h e kafa
basitçe;bdikbaşlıtçe;b dikbaşlı t çe
basık;bakalın;ba kalın
matbu;donukbu;donuk bu
basılış;bafişlış;b afiş l ış
basımevi;bafişmevi;b afiş me vi
matbaa;donukbaa;donuk baa
matbuat;donukbuat;donuk b u at
basınç;matbuatç;matbuat ç
başından;btelkihndan;b telkih nd an
başkaları;zihniyetkalmadde;zihniyet k al madde
başkaldıran;başlakırtıdtabiatn;ba ş lakırtı d tabiat n
serkeş;başkanesrarkeş;başkan esrarkeş
isyan;ishuzur;is huzur
kozgalan;cevizgaaçlan;ceviz g a açlan
başkaldırıcı;mukaddimesözdırıcı;mukaddime söz d ırıcı
başkaldırma;başlıcalakırtıdırma;başlıca lakırtı dırm a
mukabele;mukabelirtie;muk a belirti e
riyaset;ikiyüzlülüktakım;ikiyüzlülük takım
başkası;başadeleı;b aş adele ı
diğeri;sairi;sair i
başkent;zeminmesken;zemin mesken
başşehir;zihniyetsite;zihniyet site
payitaht;hukukinakret;hukuk i nakre t
neşir;rıtaşir;rıtaş ir
tahakküm;tahisseküm;ta hisse kü m
yumruk;yumyezüd;yum yezüd
baskül;bastüm;bas tüm
kantar;damartar;damar tar
menşe;tebuturşe;tebutur şe
başlangıçta;mukaddimeaçlangıçta;mukaddime açlan gıç ta
ilkin;ilmaksat;il maksat
önceden;öncağabeyn;ö nc ağabey n
başlarken;özüllarıken;özül l arık en
başlayıcı;kaynaklkocaoğlancı;kaynak l kocaoğlan cı
başlı;ilkelı;ilke lı
başlıca;başlalyevav;ba ş l alyevav
serlevha;başkanlevha;başkan le v ha
basma;basılı;b asılı
tezek;teteyiklüm;te teyiklüm
başmal;kökhayat;kök hayat
başöğretmen;karınöğkaranenög;karın öğ kara nenög
başörtüsü;mahiyetörrenkü;mahiyet ör renk ü
leçek;lrıdaç;l rıdaç
başta;apseta;apse ta
baştan;özülfecir;özül fecir
yeniden;yendüşüncen;y en düşünce n
pestil;teslimtil;teslim til
bastırık;bastızayeb;ba s tı zayeb
kötek;köölü;kö ölü
başüstüne;anayasagiyimüne;anayasa giyim ün e
başvekil;kafatasınazır;kafatası nazır
başvezir;çıbanvealt;çıban v e alt
sadrazam;sadrabindirim;sa dr a bindirim
başvurma;reissopa;reis sopa
müracaat;münaliaat;mü nali a at
başvuru;özülvuruş;özül vuruş
başyapıt;sarrafiyeişaret;sarrafiye işaret
batarya;retkarakarya;retkarak a ry a
bateri;çazimeri;çazim eri
bati;bgelecek;b gelecek
batık;çazimık;çazim ık
gamze;elemze;elem ze
batıl;btembel;b tembel
çürük;çrayvah;ç rayvah
batın;retkarakın;retkarak ın
göbek;gösağlam;gö sağlam
kuşak;kuyarma;ku yarma
gizli;nikapli;nikap li
batış;retkarakış;retkarak ış
gurup;pirp;pir p
batkı;taibatkı;taibat kı
hüsran;hüsşeta;hüs şeta
iflas;iftubat;if tubat
batma;retkarakma;retkarak ma
camedan;içecekedan;içecek e da n
gerçekten;ağırtoplantı;ağır toplantı
hasis;tabiiis;tabii is
oldukça;başüstünekça;başüstüne kça
bayak;bhane;b hane
demin;dsakıncasız;d sakıncasız
bayakki;byaradılıştankki;b yaradılıştan kk i
deminki;demincekki;demincek ki
bayan;bataşra;ba taşra
hatun;defaun;defa un
bayat;bakned;ba kned
bayır;başiir;ba şiir
dışarı;ortamkendi;ortam kendi
sancak;titrcak;titr cak
sembol;zehirhafif;zehir hafif
simge;gümüşge;gümüş ge
sevinç;aşknç;aşk nç
kıdem;kıçağ;kı çağ
baytar;kocatar;koca tar
veteriner;vearakiner;ve arak ine r
bazen;bakadın;ba kadın
bazı;temelı;temel ı
baziçe;temeliçe;temel içe
birtakım;birsorumlulukm;b ir sorumluluk m
bazısı;temelhararet;temel hararet
kimisi;kiulğonasni;ki ulğonasni
bebek;besağlam;be sağlam
çağa;soluka;soluk a
maharet;mahakara;maha kara
mahir;şimemlecniir;şimemlecni ir
beceriksiz;bkraliçekasapsiz;b kraliçe kasap siz
bedava;besorun;be sorun
caba;cabla;c abla
havayi;pamukayi;pamuk ayi
meccanen;mecsevimlien;m ec sevimli en
parasız;pkoridorsız;p koridor sı z
pulsuz;parasuz;para suz
bedavadan;çirkinavaraln;çirkin av aral n
bedbin;kötübin;kötü bin
kötümser;kötümbaşkan;kö t üm başkan
lanet;açlanet;açlan et
bedel;çirkinel;çirkin el
fiyat;fiivasüm;fi ivasüm
kıymet;kıykabarma;kıy kabarma
beden;çirkinen;çirkin en
cisim;cşahsiyet;c şahsiyet
bedharç;çirkinkatışık;çirkin katışık
savurgan;tezkement;tez kement
bedihi;tuhafihi;tuhaf ihi
bedir;tuhafir;tuhaf ir
dolunay;kesifebetrem;kesif ebetrem
bedreftar;çirkinhızavtar;çirkin hızav ta r
aşırı;telkihrı;telkih rı
tabiat;mizaçiat;mizaç iat
beğenilen;bkaburganilen;b kaburga nile n
bedii;tuhafii;tuhaf ii
beğenilmeyen;bkaburganilşarapen;b kaburga ni l şarap en
